#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Biological role(s) interactor A	Biological role(s) interactor B	Experimental role(s) interactor A	Experimental role(s) interactor B	Host organism	Identification method participant A	Identification method participant B
uniprot:Q9Z976	uniprot:A0A0G2JYF7	uniprot:O95845|uniprot:Q5VYT8|uniprot:O75580|uniprot:Q99454|uniprot:Q4VXR6|uniprot:Q96J59|uniprot:Q4VXP4|uniprot:O43796|uniprot:O43526	uniprot:Q5JYW9|uniprot:Q96C19	psi-mi:"MI:0096"(pull down)	Konietzny et al. 2019	pubmed:31371487	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	732331	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	rat brain lysate	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0427"(Identification by mass spectrometry)
uniprot:Q9Z977	uniprot:Q923W4	uniprot:O95845|uniprot:Q5VYT8|uniprot:O75580|uniprot:Q99454|uniprot:Q4VXR6|uniprot:Q96J59|uniprot:Q4VXP4|uniprot:O43796|uniprot:O43526	uniprot:Q9Y3E1	psi-mi:"MI:0096"(pull down)	Konietzny et al. 2019	pubmed:31371487	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	732332	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	rat brain lysate	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0427"(Identification by mass spectrometry)
uniprot:Q9Z978	uniprot:P15429	uniprot:O95845|uniprot:Q5VYT8|uniprot:O75580|uniprot:Q99454|uniprot:Q4VXR6|uniprot:Q96J59|uniprot:Q4VXP4|uniprot:O43796|uniprot:O43526	uniprot:P13929|uniprot:D3DTL2|uniprot:E7ENK8|uniprot:B4DUI6|uniprot:B4DUM6|uniprot:Q96AE2	psi-mi:"MI:0096"(pull down)	Konietzny et al. 2019	pubmed:31371487	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	732333	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	rat brain lysate	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0427"(Identification by mass spectrometry)
uniprot:Q9Z979	uniprot:P0C6R4	uniprot:O95845|uniprot:Q5VYT8|uniprot:O75580|uniprot:Q99454|uniprot:Q4VXR6|uniprot:Q96J59|uniprot:Q4VXP4|uniprot:O43796|uniprot:O43526	uniprot:Q9H7K0|uniprot:Q5TF58	psi-mi:"MI:0096"(pull down)	Konietzny et al. 2019	pubmed:31371487	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	732334	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	rat brain lysate	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0427"(Identification by mass spectrometry)
uniprot:Q9Z980	uniprot:P62944	uniprot:O95845|uniprot:Q5VYT8|uniprot:O75580|uniprot:Q99454|uniprot:Q4VXR6|uniprot:Q96J59|uniprot:Q4VXP4|uniprot:O43796|uniprot:O43526	uniprot:P21851|uniprot:Q7Z451|uniprot:A6NJP3|uniprot:Q96J19|uniprot:P63010	psi-mi:"MI:0096"(pull down)	Konietzny et al. 2019	pubmed:31371487	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	732335	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	rat brain lysate	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0427"(Identification by mass spectrometry)
uniprot:Q9Z981	uniprot:A0A0G2K8F4	uniprot:O95845|uniprot:Q5VYT8|uniprot:O75580|uniprot:Q99454|uniprot:Q4VXR6|uniprot:Q96J59|uniprot:Q4VXP4|uniprot:O43796|uniprot:O43526	uniprot:P21851|uniprot:Q7Z451|uniprot:A6NJP3|uniprot:Q96J19|uniprot:P63010	psi-mi:"MI:0096"(pull down)	Konietzny et al. 2019	pubmed:31371487	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	732336	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	rat brain lysate	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0427"(Identification by mass spectrometry)
uniprot:Q9Z982	uniprot:A0A0G2JSZ5	uniprot:O95845|uniprot:Q5VYT8|uniprot:O75580|uniprot:Q99454|uniprot:Q4VXR6|uniprot:Q96J59|uniprot:Q4VXP4|uniprot:O43796|uniprot:O43526	uniprot:P21851|uniprot:Q7Z451|uniprot:A6NJP3|uniprot:Q96J19|uniprot:P63010	psi-mi:"MI:0096"(pull down)	Konietzny et al. 2019	pubmed:31371487	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	732337	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	rat brain lysate	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0427"(Identification by mass spectrometry)
uniprot:Q9Z983	uniprot:Q6AYU3	uniprot:O95845|uniprot:Q5VYT8|uniprot:O75580|uniprot:Q99454|uniprot:Q4VXR6|uniprot:Q96J59|uniprot:Q4VXP4|uniprot:O43796|uniprot:O43526	uniprot:Q6FIC8|uniprot:O95806|uniprot:A8KAG0|uniprot:Q9UIK6|uniprot:Q53EN8|uniprot:Q59EF2|uniprot:Q75MA2|uniprot:B4DN73|uniprot:A8K7D8|uniprot:A4D232|uniprot:E9PCZ2|uniprot:O75190	psi-mi:"MI:0096"(pull down)	Konietzny et al. 2019	pubmed:31371487	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	732338	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	rat brain lysate	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0427"(Identification by mass spectrometry)
uniprot:Q9Z984	uniprot:A0A0G2JUT5	uniprot:O95845|uniprot:Q5VYT8|uniprot:O75580|uniprot:Q99454|uniprot:Q4VXR6|uniprot:Q96J59|uniprot:Q4VXP4|uniprot:O43796|uniprot:O43526	uniprot:Q6FIC8|uniprot:O95806|uniprot:A8KAG0|uniprot:Q9UIK6|uniprot:Q53EN8|uniprot:Q59EF2|uniprot:Q75MA2|uniprot:B4DN73|uniprot:A8K7D8|uniprot:A4D232|uniprot:E9PCZ2|uniprot:O75190	psi-mi:"MI:0096"(pull down)	Konietzny et al. 2019	pubmed:31371487	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	732339	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	rat brain lysate	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0427"(Identification by mass spectrometry)
uniprot:Q9Z985	uniprot:A0A0G2KB92	uniprot:O95845|uniprot:Q5VYT8|uniprot:O75580|uniprot:Q99454|uniprot:Q4VXR6|uniprot:Q96J59|uniprot:Q4VXP4|uniprot:O43796|uniprot:O43526	uniprot:Q6FIC8|uniprot:O95806|uniprot:A8KAG0|uniprot:Q9UIK6|uniprot:Q53EN8|uniprot:Q59EF2|uniprot:Q75MA2|uniprot:B4DN73|uniprot:A8K7D8|uniprot:A4D232|uniprot:E9PCZ2|uniprot:O75190	psi-mi:"MI:0096"(pull down)	Konietzny et al. 2019	pubmed:31371487	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	732340	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	rat brain lysate	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0427"(Identification by mass spectrometry)
uniprot:Q9Z986	uniprot:P27952	uniprot:O95845|uniprot:Q5VYT8|uniprot:O75580|uniprot:Q99454|uniprot:Q4VXR6|uniprot:Q96J59|uniprot:Q4VXP4|uniprot:O43796|uniprot:O43526	uniprot:B2R5G0|uniprot:D3DU82|uniprot:P15880|uniprot:Q3MIB1	psi-mi:"MI:0096"(pull down)	Konietzny et al. 2019	pubmed:31371487	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	732341	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	rat brain lysate	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0427"(Identification by mass spectrometry)
uniprot:Q9Z989	uniprot:F1LQ48	uniprot:O95845|uniprot:Q5VYT8|uniprot:O75580|uniprot:Q99454|uniprot:Q4VXR6|uniprot:Q96J59|uniprot:Q4VXP4|uniprot:O43796|uniprot:O43526	uniprot:A6NIT8|uniprot:P14866|uniprot:Q9H3P3|uniprot:A6ND69	psi-mi:"MI:0096"(pull down)	Konietzny et al. 2019	pubmed:31371487	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	732342	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	rat brain lysate	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0427"(Identification by mass spectrometry)
uniprot:Q9Z990	uniprot:D3ZDH8	uniprot:O95845|uniprot:Q5VYT8|uniprot:O75580|uniprot:Q99454|uniprot:Q4VXR6|uniprot:Q96J59|uniprot:Q4VXP4|uniprot:O43796|uniprot:O43526	uniprot:A6NIT8|uniprot:P14866|uniprot:Q9H3P3|uniprot:A6ND69	psi-mi:"MI:0096"(pull down)	Konietzny et al. 2019	pubmed:31371487	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	732343	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	rat brain lysate	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0427"(Identification by mass spectrometry)
uniprot:Q9Z993	uniprot:P52303	uniprot:O95845|uniprot:Q5VYT8|uniprot:O75580|uniprot:Q99454|uniprot:Q4VXR6|uniprot:Q96J59|uniprot:Q4VXP4|uniprot:O43796|uniprot:O43526	uniprot:F8WDL0|uniprot:Q20WL3|uniprot:Q10567|uniprot:C9JRD1|uniprot:P78436|uniprot:Q86X54	psi-mi:"MI:0096"(pull down)	Konietzny et al. 2019	pubmed:31371487	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	732344	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	rat brain lysate	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0427"(Identification by mass spectrometry)
uniprot:Q9Z995	uniprot:P27139	uniprot:O95845|uniprot:Q5VYT8|uniprot:O75580|uniprot:Q99454|uniprot:Q4VXR6|uniprot:Q96J59|uniprot:Q4VXP4|uniprot:O43796|uniprot:O43526	uniprot:P00918|uniprot:Q6FI12|uniprot:Q96ET9|uniprot:B2R7G8	psi-mi:"MI:0096"(pull down)	Konietzny et al. 2019	pubmed:31371487	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	732345	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	rat brain lysate	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0427"(Identification by mass spectrometry)
uniprot:Q9Z997	uniprot:Q62673	uniprot:O95845|uniprot:Q5VYT8|uniprot:O75580|uniprot:Q99454|uniprot:Q4VXR6|uniprot:Q96J59|uniprot:Q4VXP4|uniprot:O43796|uniprot:O43526	uniprot:Q15153|uniprot:Q99746|uniprot:P53350	psi-mi:"MI:0096"(pull down)	Konietzny et al. 2019	pubmed:31371487	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	732346	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	rat brain lysate	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0427"(Identification by mass spectrometry)
uniprot:Q9Z1002	uniprot:P18484	uniprot:O95845|uniprot:Q5VYT8|uniprot:O75580|uniprot:Q99454|uniprot:Q4VXR6|uniprot:Q96J59|uniprot:Q4VXP4|uniprot:O43796|uniprot:O43526	uniprot:O75403|uniprot:O94973|uniprot:Q53ET1|uniprot:Q96SI8	psi-mi:"MI:0096"(pull down)	Konietzny et al. 2019	pubmed:31371487	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	732347	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	rat brain lysate	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0427"(Identification by mass spectrometry)
uniprot:Q9Z1003	uniprot:Q9WU70	uniprot:O95845|uniprot:Q5VYT8|uniprot:O75580|uniprot:Q99454|uniprot:Q4VXR6|uniprot:Q96J59|uniprot:Q4VXP4|uniprot:O43796|uniprot:O43526	uniprot:Q8NBG8|uniprot:Q14DF3|uniprot:Q96NG9|uniprot:Q5T5C0|uniprot:Q5T5C1|uniprot:Q5T5C2	psi-mi:"MI:0096"(pull down)	Konietzny et al. 2019	pubmed:31371487	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	732348	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	rat brain lysate	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0427"(Identification by mass spectrometry)
uniprot:Q9Z1004	uniprot:P07340	uniprot:O95845|uniprot:Q5VYT8|uniprot:O75580|uniprot:Q99454|uniprot:Q4VXR6|uniprot:Q96J59|uniprot:Q4VXP4|uniprot:O43796|uniprot:O43526	uniprot:Q5TGZ3|uniprot:P05026	psi-mi:"MI:0096"(pull down)	Konietzny et al. 2019	pubmed:31371487	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	732349	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	rat brain lysate	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0427"(Identification by mass spectrometry)
uniprot:Q9Z1005	uniprot:F2Z3R2	uniprot:O95845|uniprot:Q5VYT8|uniprot:O75580|uniprot:Q99454|uniprot:Q4VXR6|uniprot:Q96J59|uniprot:Q4VXP4|uniprot:O43796|uniprot:O43526	uniprot:Q5TGZ3|uniprot:P05026	psi-mi:"MI:0096"(pull down)	Konietzny et al. 2019	pubmed:31371487	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	732350	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	rat brain lysate	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0427"(Identification by mass spectrometry)
uniprot:Q9Z1006	uniprot:Q5U1Z2	uniprot:O95845|uniprot:Q5VYT8|uniprot:O75580|uniprot:Q99454|uniprot:Q4VXR6|uniprot:Q96J59|uniprot:Q4VXP4|uniprot:O43796|uniprot:O43526	uniprot:O43617|uniprot:B2RDN2|uniprot:D3DPS2|uniprot:A6NDN0	psi-mi:"MI:0096"(pull down)	Konietzny et al. 2019	pubmed:31371487	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	732351	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	rat brain lysate	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0427"(Identification by mass spectrometry)
uniprot:Q9Z1007	uniprot:A0A140TAA4	uniprot:O95845|uniprot:Q5VYT8|uniprot:O75580|uniprot:Q99454|uniprot:Q4VXR6|uniprot:Q96J59|uniprot:Q4VXP4|uniprot:O43796|uniprot:O43526	uniprot:O43617|uniprot:B2RDN2|uniprot:D3DPS2|uniprot:A6NDN0	psi-mi:"MI:0096"(pull down)	Konietzny et al. 2019	pubmed:31371487	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	732352	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	rat brain lysate	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0427"(Identification by mass spectrometry)
uniprot:Q9Z1009	uniprot:Q07205	uniprot:O95845|uniprot:Q5VYT8|uniprot:O75580|uniprot:Q99454|uniprot:Q4VXR6|uniprot:Q96J59|uniprot:Q4VXP4|uniprot:O43796|uniprot:O43526	uniprot:Q9UG48|uniprot:Q53XB3|uniprot:Q9H5N2|uniprot:P55010	psi-mi:"MI:0096"(pull down)	Konietzny et al. 2019	pubmed:31371487	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	732353	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	rat brain lysate	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0427"(Identification by mass spectrometry)
uniprot:Q9Z1013	uniprot:P19511	uniprot:O95845|uniprot:Q5VYT8|uniprot:O75580|uniprot:Q99454|uniprot:Q4VXR6|uniprot:Q96J59|uniprot:Q4VXP4|uniprot:O43796|uniprot:O43526	uniprot:P24539|uniprot:Q9BRU8|uniprot:Q9BQ68	psi-mi:"MI:0096"(pull down)	Konietzny et al. 2019	pubmed:31371487	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	732354	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	rat brain lysate	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0427"(Identification by mass spectrometry)
uniprot:Q9Z1014	uniprot:A0A0G2K2L8	uniprot:O95845|uniprot:Q5VYT8|uniprot:O75580|uniprot:Q99454|uniprot:Q4VXR6|uniprot:Q96J59|uniprot:Q4VXP4|uniprot:O43796|uniprot:O43526	uniprot:P24539|uniprot:Q9BRU8|uniprot:Q9BQ68	psi-mi:"MI:0096"(pull down)	Konietzny et al. 2019	pubmed:31371487	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	732355	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	rat brain lysate	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0427"(Identification by mass spectrometry)
uniprot:Q9Z1015	uniprot:A0A140TAD2	uniprot:O95845|uniprot:Q5VYT8|uniprot:O75580|uniprot:Q99454|uniprot:Q4VXR6|uniprot:Q96J59|uniprot:Q4VXP4|uniprot:O43796|uniprot:O43526	uniprot:P24539|uniprot:Q9BRU8|uniprot:Q9BQ68	psi-mi:"MI:0096"(pull down)	Konietzny et al. 2019	pubmed:31371487	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	732356	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	rat brain lysate	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0427"(Identification by mass spectrometry)
uniprot:Q9Z1016	uniprot:A0A140TAI3	uniprot:O95845|uniprot:Q5VYT8|uniprot:O75580|uniprot:Q99454|uniprot:Q4VXR6|uniprot:Q96J59|uniprot:Q4VXP4|uniprot:O43796|uniprot:O43526	uniprot:P24539|uniprot:Q9BRU8|uniprot:Q9BQ68	psi-mi:"MI:0096"(pull down)	Konietzny et al. 2019	pubmed:31371487	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	732357	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	rat brain lysate	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0427"(Identification by mass spectrometry)
uniprot:Q9Z1017	uniprot:A0A0G2K2V2	uniprot:O95845|uniprot:Q5VYT8|uniprot:O75580|uniprot:Q99454|uniprot:Q4VXR6|uniprot:Q96J59|uniprot:Q4VXP4|uniprot:O43796|uniprot:O43526	uniprot:P24539|uniprot:Q9BRU8|uniprot:Q9BQ68	psi-mi:"MI:0096"(pull down)	Konietzny et al. 2019	pubmed:31371487	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	732358	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	rat brain lysate	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0427"(Identification by mass spectrometry)
uniprot:Q9Z1019	uniprot:Q66HA8	uniprot:O95845|uniprot:Q5VYT8|uniprot:O75580|uniprot:Q99454|uniprot:Q4VXR6|uniprot:Q96J59|uniprot:Q4VXP4|uniprot:O43796|uniprot:O43526	uniprot:Q92598|uniprot:Q9UPC4|uniprot:Q5TBM7|uniprot:Q5TBM6|uniprot:Q5TBM8|uniprot:B4DYH1|uniprot:O95739	psi-mi:"MI:0096"(pull down)	Konietzny et al. 2019	pubmed:31371487	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	732359	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	rat brain lysate	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0427"(Identification by mass spectrometry)
uniprot:Q9Z1020	uniprot:Q4V8C7	uniprot:O95845|uniprot:Q5VYT8|uniprot:O75580|uniprot:Q99454|uniprot:Q4VXR6|uniprot:Q96J59|uniprot:Q4VXP4|uniprot:O43796|uniprot:O43526	uniprot:Q53G24|uniprot:O75569|uniprot:A8K3I6|uniprot:Q8NDK4|uniprot:Q6X7T5	psi-mi:"MI:0096"(pull down)	Konietzny et al. 2019	pubmed:31371487	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	732360	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	rat brain lysate	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0427"(Identification by mass spectrometry)
uniprot:Q9Z1021	uniprot:Q6IMY8	uniprot:O95845|uniprot:Q5VYT8|uniprot:O75580|uniprot:Q99454|uniprot:Q4VXR6|uniprot:Q96J59|uniprot:Q4VXP4|uniprot:O43796|uniprot:O43526	uniprot:Q00839|uniprot:Q9BQ09|uniprot:Q8N174|uniprot:Q96HY9|uniprot:O75507	psi-mi:"MI:0096"(pull down)	Konietzny et al. 2019	pubmed:31371487	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	732361	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	rat brain lysate	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0427"(Identification by mass spectrometry)
uniprot:Q9Z1022	uniprot:Q641X7	uniprot:O95845|uniprot:Q5VYT8|uniprot:O75580|uniprot:Q99454|uniprot:Q4VXR6|uniprot:Q96J59|uniprot:Q4VXP4|uniprot:O43796|uniprot:O43526	uniprot:Q6PJ83|uniprot:Q8TCJ0|uniprot:Q9UKB8|uniprot:Q7Z4V4	psi-mi:"MI:0096"(pull down)	Konietzny et al. 2019	pubmed:31371487	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	732362	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	rat brain lysate	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0427"(Identification by mass spectrometry)
uniprot:Q9Z1023	uniprot:P37285	uniprot:O95845|uniprot:Q5VYT8|uniprot:O75580|uniprot:Q99454|uniprot:Q4VXR6|uniprot:Q96J59|uniprot:Q4VXP4|uniprot:O43796|uniprot:O43526	uniprot:Q07866|uniprot:Q7RTM2|uniprot:Q7RTQ5|uniprot:Q7RTQ3|uniprot:Q96H62|uniprot:Q7RTM5|uniprot:Q7RTQ6|uniprot:F8VTM4|uniprot:Q86TF5|uniprot:A6NF62|uniprot:Q7RTP9|uniprot:Q86V78|uniprot:Q86V79|uniprot:Q86V74|uniprot:Q86V75|uniprot:Q86V76|uniprot:Q86V77|uniprot:Q7RTM3|uniprot:Q86SF5	psi-mi:"MI:0096"(pull down)	Konietzny et al. 2019	pubmed:31371487	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	732363	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	rat brain lysate	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0427"(Identification by mass spectrometry)
uniprot:Q9Z1024	uniprot:F1LSW7	uniprot:O95845|uniprot:Q5VYT8|uniprot:O75580|uniprot:Q99454|uniprot:Q4VXR6|uniprot:Q96J59|uniprot:Q4VXP4|uniprot:O43796|uniprot:O43526	uniprot:Q07866|uniprot:Q7RTM2|uniprot:Q7RTQ5|uniprot:Q7RTQ3|uniprot:Q96H62|uniprot:Q7RTM5|uniprot:Q7RTQ6|uniprot:F8VTM4|uniprot:Q86TF5|uniprot:A6NF62|uniprot:Q7RTP9|uniprot:Q86V78|uniprot:Q86V79|uniprot:Q86V74|uniprot:Q86V75|uniprot:Q86V76|uniprot:Q86V77|uniprot:Q7RTM3|uniprot:Q86SF5	psi-mi:"MI:0096"(pull down)	Konietzny et al. 2019	pubmed:31371487	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	732364	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	rat brain lysate	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0427"(Identification by mass spectrometry)
